iter	RMSE
0	0.5395033313
1	0.5395033313
2	0.4833486818
3	0.4292731819
4	0.4292731819
5	0.3901094006
6	0.3841409086
7	0.3841409086
8	0.3801880335
9	0.3678408299
10	0.3482691009
11	0.3482691008
12	0.341858782
13	0.3328542859
14	0.329898215
15	0.329898215
16	0.3253156647
17	0.3248268547
18	0.3248268547
19	0.3217509596
20	0.3217509596
21	0.3213741106
22	0.3202768742
23	0.3201474094
24	0.3199993655
25	0.3199993655
26	0.3199993655
27	0.3191518396
28	0.3191518396
29	0.3190499869
30	0.3186532459
31	0.3173206398
32	0.3173206398
33	0.3173206398
34	0.3168771971
35	0.3168771971
36	0.3159353194
37	0.3159260179
38	0.3159260179
39	0.3159260179
40	0.3125573972
41	0.3125573972
42	0.3125573972
43	0.3125573972
44	0.3125573972
45	0.3122016561
46	0.3119800061
47	0.3119800061
48	0.3117860514
49	0.3111650624
50	0.3111169158
51	0.3111169158
52	0.3111169158
53	0.3108050141
54	0.3108050141
55	0.3108050141
56	0.3108050141
57	0.3105057119
58	0.3105057119
59	0.3105057119
60	0.3105057119
61	0.3100882498
62	0.3091098661
63	0.3091098661
64	0.3087843989
65	0.3087843989
66	0.3087843989
67	0.3087843989
68	0.3082471565
69	0.305315456
70	0.305315456
71	0.305315456
72	0.303891692
73	0.303891692
74	0.303891692
75	0.303891692
76	0.3038894841
77	0.3038437258
78	0.30379157
79	0.3036092054
80	0.303604377
81	0.3033358863
82	0.3033358863
83	0.303301592
84	0.3031217878
85	0.3029409887
86	0.3029409887
87	0.3028814689
88	0.3028367963
89	0.3022420571
90	0.3013436536
91	0.3012085387
92	0.3012085387
93	0.3012030917
94	0.3011611679
95	0.3010751446
96	0.3010751446
97	0.3009182668
98	0.3008771957
99	0.3003893624
100	0.3003362381
101	0.3000100697
102	0.2999768193
103	0.2999327515
104	0.2999060278
105	0.2998910334
106	0.2998910334
107	0.2998910334
108	0.2998910334
109	0.299864066
110	0.299687321
111	0.2982409013
112	0.2981532637
113	0.2981532637
114	0.298120497
115	0.2977275834
116	0.2977275834
117	0.2977275834
118	0.2976934759
119	0.2976934759
120	0.2976809639
121	0.2976177861
122	0.2976177861
123	0.2976177861
124	0.2976177861
125	0.2975799884
126	0.2975799884
127	0.2975799884
128	0.2975632484
129	0.2975459655
130	0.2973679939
131	0.2972559839
132	0.296055507
133	0.2957992801
134	0.2945445901
135	0.2945137288
136	0.2944976061
137	0.294440526
138	0.2941046654
139	0.2940834806
140	0.2938830612
141	0.2938331782
142	0.2934321002
143	0.2932214136
144	0.2904567797
145	0.2904567797
146	0.2903509987
147	0.290214284
148	0.2901788831
149	0.2901572095
150	0.2901329404
151	0.2901099179
152	0.2901099179
153	0.2900849518
154	0.2900760742
155	0.2900618761
156	0.2900541389
157	0.2899179094
158	0.2898228399
159	0.2897943662
160	0.289753245
161	0.289753245
162	0.289753245
163	0.2893819291
164	0.2893632526
165	0.2885625252
166	0.2885625252
167	0.2871988993
168	0.2869738189
169	0.2869600968
170	0.2869600968
171	0.2869228302
172	0.2868851919
173	0.2865260375
174	0.2865128629
175	0.2865050324
176	0.2865050324
177	0.2865050324
178	0.2864837747
179	0.2864837747
180	0.2864837747
181	0.2862264129
182	0.286222678
183	0.2861994083
184	0.2861994083
185	0.2861913659
186	0.2861866871
187	0.2861670056
188	0.2861670056
189	0.2861479939
190	0.2861447993
191	0.2861447993
192	0.2861447993
193	0.2861405915
194	0.2860825001
195	0.2860825001
196	0.2860617865
197	0.2859566883
198	0.2857940045
199	0.2855646093
200	0.2855646093
201	0.2855646093
202	0.2854717592
203	0.2854717592
204	0.2852563433
205	0.285238209
206	0.285238209
207	0.2847305036
208	0.28471319
209	0.2846474627
210	0.2846474627
211	0.2846151477
212	0.2846151477
213	0.2846059528
214	0.284605122
215	0.284605122
216	0.2845406686
217	0.2845308174
218	0.2845257999
219	0.2845174065
220	0.2845058333
221	0.2844982272
222	0.2844943166
223	0.2844943166
224	0.2844672997
225	0.2844286445
226	0.2844224895
227	0.2844136252
228	0.2844136252
229	0.2844109629
230	0.2844109629
231	0.2843688074
232	0.2842619995
233	0.2842619995
234	0.2841408229
235	0.2841408229
236	0.2840132279
237	0.2840132279
238	0.2840132279
239	0.2840047544
240	0.2840047544
241	0.2839942479
242	0.2839942479
243	0.2839363524
244	0.2839258056
245	0.2839137972
246	0.2838885669
247	0.2838686748
248	0.2838060726
249	0.2837955652
250	0.2836678639
251	0.283660004
252	0.283660004
253	0.2836592211
254	0.2836535013
255	0.2836535013
256	0.2836535013
257	0.2836535013
258	0.2836459914
259	0.2836357608
260	0.2836357608
261	0.2835854222
262	0.2835839755
263	0.2835839755
264	0.2835767586
265	0.2833252323
266	0.2833181959
267	0.2833181959
268	0.2832763414
269	0.283249249
270	0.2832431788
271	0.2832431788
272	0.2831932399
273	0.2831932399
274	0.2831932399
275	0.2831932399
276	0.2831932399
277	0.2830230349
278	0.282966093
279	0.2829599215
280	0.2829590696
281	0.2827713489
282	0.2826729278
283	0.2826729278
284	0.2826505897
285	0.2826505897
286	0.2826505897
287	0.2826505897
288	0.2826505897
289	0.2826323485
290	0.2826323485
291	0.2826323485
292	0.2826221615
293	0.2826196568
294	0.2826131624
295	0.2824491598
296	0.2824491598
297	0.2824491598
298	0.2824100033
299	0.282350163
300	0.2823470273
301	0.2823410229
302	0.282331017
303	0.282331017
304	0.2823251525
305	0.282273988
306	0.282273988
307	0.2822714911
308	0.282266999
309	0.282266999
310	0.282266999
311	0.2821673275
312	0.2821673275
313	0.2821673275
314	0.2821667355
315	0.2821667355
316	0.2821630756
317	0.2819743865
318	0.2815948339
319	0.2815927209
320	0.2815896734
321	0.2815896734
322	0.2815896734
323	0.2810223251
324	0.2809982171
325	0.2809526172
326	0.280947987
327	0.280947987
328	0.2809397403
329	0.2808804178
330	0.2808311323
331	0.2808311323
332	0.2808127028
333	0.2808127028
334	0.2808105038
335	0.2807972884
336	0.2807966213
337	0.2807906385
338	0.2807906385
339	0.2807906385
340	0.2807896315
341	0.2807891471
342	0.2807891471
343	0.2807891471
344	0.2807804584
345	0.2807773972
346	0.2807768625
347	0.2807768625
348	0.2807110288
349	0.2807110288
350	0.2807110288
351	0.2807110288
352	0.2807062383
353	0.2807062383
354	0.280692942
355	0.280692942
356	0.2805784116
357	0.280572551
358	0.280572551
359	0.2805694621
360	0.2805134359
361	0.2805104592
362	0.2805104592
363	0.2805104592
364	0.2805083737
365	0.2805083737
366	0.2795559527
367	0.2795520999
368	0.2795520999
369	0.2795306171
370	0.279526976
371	0.2791724336
372	0.2791537069
373	0.2790848483
374	0.2787564066
375	0.2787535009
376	0.2787535009
377	0.2787535009
378	0.2786943989
379	0.2786813017
380	0.2786792888
381	0.2785975838
382	0.2785975838
383	0.2785834555
384	0.2785767267
385	0.2785751924
386	0.2785751924
387	0.2785714962
388	0.2785151158
389	0.2785116171
390	0.2785116171
391	0.2784638672
392	0.2784638672
393	0.2784638672
394	0.2784638672
395	0.2784638672
396	0.2784638672
397	0.2784638672
398	0.2784638672
399	0.278454815
400	0.278450534
401	0.2784421395
402	0.2784417771
403	0.2784359547
404	0.2784251618
405	0.2783218961
406	0.2783218961
407	0.2779026469
408	0.2779026469
409	0.2778733924
410	0.2778727991
411	0.2778727991
412	0.277872542
413	0.2778691862
414	0.2778516312
415	0.2778512631
416	0.2778414155
417	0.2778401288
418	0.2778401288
419	0.2778401288
420	0.2778374222
421	0.2778374222
422	0.2778374222
423	0.2773726167
424	0.2773726167
425	0.2773563068
426	0.277326585
