iter	Passed	Remaining
0	2	2486
1	4	2084
2	6	2073
3	8	2230
4	10	2041
5	13	2211
6	14	2094
7	16	2022
8	19	2156
9	22	2195
10	30	2746
11	32	2703
12	34	2632
13	37	2623
14	41	2756
15	44	2708
16	47	2719
17	49	2704
18	51	2637
19	53	2604
20	54	2541
21	56	2503
22	60	2570
23	63	2572
24	64	2534
25	66	2488
26	67	2440
27	71	2489
28	74	2490
29	76	2462
30	78	2440
31	79	2410
32	80	2370
33	82	2337
34	83	2315
35	86	2303
36	87	2286
37	89	2256
38	90	2238
39	91	2205
40	94	2201
41	95	2171
42	96	2142
43	97	2122
44	98	2100
45	100	2086
46	102	2069
47	104	2067
48	106	2067
49	108	2062
50	110	2047
51	111	2024
52	112	2008
53	114	2014
54	116	2005
55	118	1994
56	119	1977
57	121	1974
58	123	1962
59	124	1945
60	125	1927
61	126	1920
62	129	1920
63	130	1909
64	133	1921
65	135	1923
66	137	1913
67	140	1924
68	161	2174
69	166	2214
70	167	2195
71	168	2176
72	171	2172
73	172	2157
74	173	2139
75	174	2121
76	175	2107
77	177	2095
78	178	2082
79	180	2071
80	181	2059
81	182	2046
82	184	2033
83	185	2028
84	187	2016
85	188	2007
86	190	1994
87	191	1987
88	193	1980
89	195	1979
90	198	1986
91	200	1977
92	201	1964
93	202	1953
94	203	1942
95	205	1932
96	206	1919
97	208	1918
98	210	1912
99	212	1911
100	213	1902
101	217	1912
102	218	1903
103	219	1893
104	221	1884
105	223	1883
106	224	1872
107	225	1861
108	226	1852
109	228	1849
110	231	1855
111	235	1866
112	237	1867
113	239	1863
114	241	1858
115	246	1875
116	247	1868
117	248	1858
118	249	1850
119	251	1843
120	252	1836
121	254	1831
122	255	1822
123	256	1812
124	257	1803
125	259	1801
126	261	1796
127	262	1787
128	263	1780
129	264	1773
130	266	1770
131	269	1770
132	276	1801
133	278	1798
134	281	1803
135	282	1797
136	284	1791
137	286	1786
138	289	1795
139	292	1794
140	295	1797
141	298	1801
142	305	1828
143	308	1832
144	315	1857
145	317	1855
146	319	1853
147	324	1869
148	327	1869
149	330	1871
150	331	1865
151	333	1859
152	334	1853
153	340	1872
154	344	1876
155	346	1874
156	348	1869
157	350	1867
158	353	1870
159	356	1870
160	359	1873
161	362	1872
162	363	1864
163	365	1863
164	369	1869
165	372	1871
166	374	1869
167	385	1909
168	389	1914
169	392	1914
170	393	1906
171	394	1899
172	396	1893
173	399	1894
174	401	1891
175	402	1885
176	404	1879
177	406	1878
178	408	1874
179	409	1867
180	410	1859
181	414	1862
182	417	1862
183	420	1864
184	423	1867
185	425	1862
186	426	1855
187	429	1854
188	430	1848
189	432	1843
190	434	1841
191	437	1839
192	438	1833
193	440	1830
194	442	1825
195	443	1818
196	445	1817
197	449	1819
198	452	1821
199	454	1818
200	455	1811
201	456	1804
202	459	1804
203	461	1799
204	463	1795
205	464	1790
206	465	1784
207	468	1785
208	470	1779
209	472	1775
210	473	1768
211	475	1766
212	476	1759
213	477	1753
214	478	1747
215	479	1741
216	481	1737
217	482	1731
218	484	1726
219	485	1721
220	486	1716
221	488	1710
222	490	1707
223	491	1701
224	492	1697
225	494	1693
226	496	1689
227	497	1685
228	499	1681
229	501	1678
230	502	1672
231	505	1672
232	506	1668
233	507	1662
234	509	1659
235	510	1654
236	514	1656
237	515	1651
238	516	1645
239	518	1640
240	520	1639
241	522	1635
242	524	1632
243	526	1630
244	529	1631
245	530	1627
246	532	1622
247	533	1618
248	536	1616
249	537	1612
250	539	1609
251	540	1604
252	541	1598
253	543	1596
254	544	1591
255	545	1585
256	546	1580
257	547	1575
258	549	1570
259	551	1569
260	552	1564
261	553	1560
262	555	1555
263	556	1550
264	557	1547
265	560	1545
266	561	1541
267	562	1536
268	564	1533
269	566	1531
270	567	1526
271	568	1521
272	570	1519
273	571	1514
274	572	1509
275	574	1505
276	575	1500
277	577	1499
278	579	1496
279	581	1494
280	582	1490
281	584	1487
282	586	1484
283	587	1480
284	590	1481
285	592	1478
286	593	1474
287	594	1470
288	596	1467
289	597	1463
290	598	1459
291	600	1454
292	601	1450
293	602	1446
294	604	1443
295	607	1445
296	609	1442
297	610	1438
298	612	1436
299	614	1433
300	616	1432
301	620	1434
302	622	1432
303	624	1428
304	625	1425
305	628	1425
306	629	1420
307	630	1417
308	631	1413
309	633	1409
310	634	1406
311	636	1404
312	637	1400
313	638	1395
314	640	1391
315	641	1387
316	642	1384
317	644	1382
318	646	1379
319	647	1376
320	649	1372
321	650	1369
322	651	1365
323	654	1364
324	655	1361
325	658	1360
326	659	1356
327	660	1353
328	661	1349
329	663	1347
330	665	1344
331	666	1341
332	668	1338
333	669	1334
334	670	1330
335	672	1328
336	673	1324
337	674	1321
338	676	1318
339	677	1314
340	678	1311
341	679	1308
342	680	1304
343	681	1300
344	683	1297
345	685	1296
346	689	1296
347	690	1293
348	692	1292
349	694	1290
350	695	1286
351	696	1283
352	698	1279
353	699	1277
354	702	1276
355	703	1273
356	705	1270
357	706	1267
358	707	1263
359	709	1261
360	712	1260
361	714	1259
362	716	1257
363	717	1254
364	719	1250
365	720	1247
366	726	1253
367	728	1250
368	729	1247
369	732	1246
370	734	1245
371	737	1244
372	739	1243
373	741	1241
374	743	1239
375	745	1236
376	746	1233
377	747	1230
378	750	1228
379	751	1226
380	752	1223
381	755	1222
382	756	1218
383	758	1215
384	759	1212
385	760	1209
386	761	1206
387	763	1203
388	766	1203
389	767	1200
390	768	1197
391	770	1195
392	771	1192
393	772	1188
394	774	1185
395	775	1183
396	777	1181
397	778	1178
398	780	1175
399	783	1174
400	785	1173
401	787	1171
402	789	1169
403	790	1166
404	793	1165
405	796	1165
406	797	1162
407	801	1163
408	803	1160
409	804	1157
410	806	1155
411	807	1152
412	809	1150
413	810	1147
414	812	1144
415	813	1141
416	814	1139
417	816	1136
418	817	1133
419	818	1130
420	820	1127
421	821	1125
422	822	1122
423	827	1123
424	828	1120
425	829	1118
426	833	1118
427	835	1117
428	838	1115
429	840	1114
430	843	1113
431	844	1110
432	847	1109
433	849	1107
434	851	1105
435	853	1103
436	854	1100
437	855	1097
438	856	1094
439	860	1094
440	861	1092
441	862	1089
442	864	1086
443	865	1083
444	867	1081
445	868	1078
446	870	1076
447	871	1074
448	873	1071
449	875	1069
450	877	1068
451	880	1067
452	881	1064
453	882	1061
454	884	1059
455	885	1056
456	887	1053
457	889	1052
458	891	1050
459	892	1048
460	894	1045
461	896	1043
